mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
I30x_HG001_grapev1_0-sent-deep19b-SNPts	SNPts	I30x_HG001_grapev1_0	334933992.0	334674269.0	1085.0	258638.0	563.0	0.9968241977630636	0.9958224724032912	0.9999983177701274	0.0021720595213753032	0.9978279404786247	0.9978279404786247	HG001	giabHC_x_clinvar_genes	-1	-2	sent	deep19b
I30x_HG001_grapev1_0-sent-deep19b-SNPtv	SNPtv	I30x_HG001_grapev1_0	334933992.0	334816889.0	511.0	116592.0	287.0	0.9965894812421469	0.995636320162592	0.9999991428157795	0.002455530933700665	0.9975444690662993	0.9975444690662993	HG001	giabHC_x_clinvar_genes	-1	-2	sent	deep19b
I30x_HG001_grapev1_0-sent-deep19b-INS_50	INS_50	I30x_HG001_grapev1_0	334933992.0	334909712.0	174.0	24106.0	36.0	0.9956631283300978	0.992833607907743	0.9999998925083542	0.0014911772015574517	0.9985088227984426	0.9985088227984426	HG001	giabHC_x_clinvar_genes	-1	-2	sent	deep19b
I30x_HG001_grapev1_0-sent-deep19b-INS_gt50	INS_gt50	I30x_HG001_grapev1_0	334933992.0	334933992.0	0.0	0.0	0.0			1.0				HG001	giabHC_x_clinvar_genes	-1	-2	sent	deep19b
I30x_HG001_grapev1_0-sent-deep19b-DEL_50	DEL_50	I30x_HG001_grapev1_0	334933992.0	334907919.0	86.0	25987.0	27.0	0.9978305527290879	0.9967015686725732	0.9999999193808319	0.0010379026677942646	0.9989620973322058	0.9989620973322058	HG001	giabHC_x_clinvar_genes	-1	-2	sent	deep19b
I30x_HG001_grapev1_0-sent-deep19b-DEL_gt50	DEL_gt50	I30x_HG001_grapev1_0	334933992.0	334933992.0	0.0	0.0	0.0			1.0				HG001	giabHC_x_clinvar_genes	-1	-2	sent	deep19b
I30x_HG001_grapev1_0-sent-deep19b-Indel_50	Indel_50	I30x_HG001_grapev1_0	334933992.0	334931224.0	11.0	2757.0	4.0	0.9972870320130222	0.9960260115606936	0.9999999880572498	0.0014487504527345165	0.9985512495472655	0.9985512495472655	HG001	giabHC_x_clinvar_genes	-1	-2	sent	deep19b
I30x_HG001_grapev1_0-sent-deep19b-Indel_gt50	Indel_gt50	I30x_HG001_grapev1_0	334933992.0	334933962.0	2.0	28.0	0.0	0.9655172413793104	0.9333333333333333	1.0	0.0	1.0	1.0	HG001	giabHC_x_clinvar_genes	-1	-2	sent	deep19b
I30x_HG001_grapev1_0-sent-deep19b-All	All	I30x_HG001_grapev1_0	334933992.0	334504015.0	1869.0	428108.0	917.0	0.9967567013813705	0.9956532558718257	0.9999972586353375	0.002137404580152672	0.9978625954198473	0.9978625954198473	HG001	giabHC_x_clinvar_genes	-1	-2	sent	deep19b
I30x_HG001_grapev1_0-sent-deep19b-SNPts	SNPts	I30x_HG001_grapev1_0	2490378273.0	2488212978.0	2671.0	2162624.0	1292.0	0.9990845907025553	0.9987664498370892	0.9999994807521139	0.0005970656901654223	0.9994029343098346	0.9994029343098346	HG001	giabHC_x_ultima	-1	-2	sent	deep19b
